hhid,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group
Y24H5750202,2,Whitehorse (C),10,10
Y24H5750203,1,Whitehorse (C),4,4
Y24H5750204,1,Whitehorse (C),3,3
Y24H5750205,2,Whitehorse (C),8,8
Y24H5750206,2,Whitehorse (C),15,15
Y24H5750207,1,Whitehorse (C),12,12
Y24H5750208,2,Whitehorse (C),13,13
Y24H5750211,1,Whitehorse (C),5,5
Y24H5750216,1,Whitehorse (C),14,14
Y24H5750217,2,Whitehorse (C),13,13
Y24H5750218,1,Whitehorse (C),12,12
Y24H5750224,3,Whitehorse (C),6,6
Y24H5750233,1,Whitehorse (C),2,2
Y24H5750234,1,Whitehorse (C),11,11
Y24H5750235,2,Whitehorse (C),17,17
Y24H5750239,4,Whitehorse (C),16,16
Y24H5750241,2,Whitehorse (C),14,14
Y24H5750309,2,Maribyrnong (C),9,9
Y24H5750310,1,Maribyrnong (C),7,7
Y24H5750311,1,Maribyrnong (C),15,15
Y24H5750318,0,Maribyrnong (C),8,8
Y24H5750320,2,Maribyrnong (C),15,15
Y24H5750324,1,Maribyrnong (C),9,9
Y24H5750333,3,Maribyrnong (C),19,19
Y24H5750340,1,Maribyrnong (C),3,3
Y24H5750342,2,Maribyrnong (C),10,10
Y24H5750401,2,Whittlesea (C),15,15
Y24H5750403,2,Whittlesea (C),9,9
Y24H5750404,3,Whittlesea (C),7,7
Y24H5750412,2,Whittlesea (C),11,11
Y24H5750413,2,Whittlesea (C),13,13
Y24H5750415,2,Whittlesea (C),12,12
Y24H5750417,3,Whittlesea (C),2,2
Y24H5750418,4,Whittlesea (C),13,13
Y24H5750419,2,Whittlesea (C),7,7
Y24H5750420,2,Whittlesea (C),12,12
Y24H5750424,2,Whittlesea (C),7,7
Y24H5750426,1,Whittlesea (C),16,16
Y24H5750430,2,Whittlesea (C),8,8
Y24H5750431,1,Whittlesea (C),14,14
Y24H5750436,2,Whittlesea (C),2,2
Y24H5750437,1,Whittlesea (C),12,12
Y24H5750442,1,Whittlesea (C),11,11
Y24H5760202,1,Manningham (C),10,10
Y24H5760203,2,Manningham (C),16,16
Y24H5760204,2,Manningham (C),6,6
Y24H5760205,1,Manningham (C),5,5
Y24H5760206,4,Manningham (C),16,16
Y24H5760207,1,Manningham (C),7,7
Y24H5760209,3,Manningham (C),9,9
Y24H5760211,1,Manningham (C),5,5
Y24H5760215,2,Manningham (C),14,14
Y24H5760217,3,Manningham (C),3,3
Y24H5760218,0,Manningham (C),9,9
Y24H5760224,2,Manningham (C),8,8
Y24H5760228,2,Manningham (C),11,11
Y24H5760231,3,Manningham (C),15,15
Y24H5760232,3,Manningham (C),13,13
Y24H5760235,4,Manningham (C),18,18
Y24H5760236,2,Manningham (C),11,11
Y24H5760237,2,Manningham (C),17,17
Y24H5760238,1,Manningham (C),8,8
Y24H5760240,2,Manningham (C),16,16
Y24H5760242,3,Manningham (C),16,16
Y24H5760307,1,Bayside (C),14,14
Y24H5760312,1,Bayside (C),18,18
Y24H5760313,2,Bayside (C),14,14
Y24H5760314,2,Bayside (C),14,14
Y24H5760323,2,Bayside (C),7,7
Y24H5760326,2,Bayside (C),14,14
Y24H5760327,1,Bayside (C),12,12
Y24H5760328,1,Bayside (C),8,8
Y24H5760329,3,Bayside (C),10,10
Y24H5760330,3,Bayside (C),14,14
Y24H5760331,1,Bayside (C),18,18
Y24H5760335,1,Bayside (C),18,18
Y24H5760336,2,Bayside (C),14,14
Y24H5760338,2,Bayside (C),18,18
Y24H5760339,1,Bayside (C),7,7
Y24H5760341,3,Bayside (C),14,14
Y24H5760405,2,Moonee Valley (C),6,6
Y24H5760406,2,Moonee Valley (C),11,11
Y24H5760407,1,Moonee Valley (C),13,13
Y24H5760409,1,Moonee Valley (C),12,12
Y24H5760411,1,Moonee Valley (C),6,6
Y24H5760412,1,Moonee Valley (C),5,5
Y24H5760413,1,Moonee Valley (C),14,14
Y24H5760414,1,Moonee Valley (C),8,8
Y24H5760417,1,Moonee Valley (C),12,12
Y24H5760420,1,Moonee Valley (C),12,12
Y24H5760424,2,Moonee Valley (C),10,10
Y24H5760425,3,Moonee Valley (C),9,9
Y24H5760435,1,Moonee Valley (C),2,2
Y24H5760436,1,Moonee Valley (C),3,3
Y24H5760440,1,Moonee Valley (C),10,10
Y24H5760502,3,Wyndham (C),16,16
Y24H5760508,2,Wyndham (C),14,14
Y24H5760511,2,Wyndham (C),18,18
Y24H5760514,1,Wyndham (C),12,12
Y24H5760521,2,Wyndham (C),18,18
Y24H5760523,2,Wyndham (C),13,13
Y24H5760525,2,Wyndham (C),12,12
Y24H5760527,1,Wyndham (C),14,14
Y24H5760533,2,Wyndham (C),13,13
Y24H5760534,3,Wyndham (C),18,18
Y24H5760537,1,Wyndham (C),15,15
Y24H5760539,2,Wyndham (C),14,14
Y24H5760540,2,Wyndham (C),12,12
Y24H5770201,2,Knox (C),16,16
Y24H5770204,3,Knox (C),11,11
Y24H5770206,1,Knox (C),4,4
Y24H5770207,0,Knox (C),3,3
Y24H5770209,3,Knox (C),12,12
Y24H5770210,1,Knox (C),1,1
Y24H5770212,5,Knox (C),9,9
Y24H5770213,1,Knox (C),14,14
Y24H5770216,3,Knox (C),6,6
Y24H5770218,2,Knox (C),6,6
Y24H5770219,2,Knox (C),6,6
Y24H5770220,1,Knox (C),5,5
Y24H5770222,3,Knox (C),17,17
Y24H5770224,1,Knox (C),6,6
Y24H5770227,2,Knox (C),12,12
Y24H5770232,5,Knox (C),14,14
Y24H5770233,2,Knox (C),12,12
Y24H5770234,1,Knox (C),7,7
Y24H5770235,1,Knox (C),5,5
Y24H5770236,3,Knox (C),15,15
Y24H5770237,2,Knox (C),17,17
Y24H5770239,2,Knox (C),6,6
Y24H5770240,2,Knox (C),10,10
Y24H5770241,1,Knox (C),3,3
Y24H5770242,2,Knox (C),8,8
Y24H5770322,2,Yarra (C),14,14
Y24H5770323,2,Yarra (C),7,7
Y24H5770324,1,Yarra (C),12,12
Y24H5770327,1,Yarra (C),15,15
Y24H5770330,1,Yarra (C),14,14
Y24H5770334,0,Yarra (C),18,18
Y24H5770335,1,Yarra (C),9,9
Y24H5770336,1,Yarra (C),14,14
Y24H5770337,0,Yarra (C),5,5
Y24H5770338,1,Yarra (C),7,7
Y24H5770342,2,Yarra (C),18,18
Y24H5770504,2,Brimbank (C),3,3
Y24H5770506,1,Brimbank (C),10,10
Y24H5770515,1,Brimbank (C),12,12
Y24H5770517,2,Brimbank (C),13,13
Y24H5770518,1,Brimbank (C),1,1
Y24H5770521,2,Brimbank (C),14,14
Y24H5770530,0,Brimbank (C),10,10
Y24H5770541,0,Brimbank (C),12,12
Y24H5780104,3,Casey (C),11,11
Y24H5780108,2,Casey (C),8,8
Y24H5780109,4,Casey (C),10,10
Y24H5780114,1,Casey (C),8,8
Y24H5780115,5,Casey (C),13,13
Y24H5780120,1,Casey (C),3,3
Y24H5780122,4,Casey (C),16,16
Y24H5780126,1,Casey (C),7,7
Y24H5780130,3,Casey (C),13,13
Y24H5780136,2,Casey (C),8,8
Y24H5780137,2,Casey (C),17,17
Y24H5780138,5,Casey (C),17,17
Y24H5780140,1,Casey (C),10,10
Y24H5780201,2,Monash (C),12,12
Y24H5780203,3,Monash (C),16,16
Y24H5780204,2,Monash (C),18,18
Y24H5780209,2,Monash (C),12,12
Y24H5780215,2,Monash (C),7,7
Y24H5780216,2,Monash (C),7,7
Y24H5780220,1,Monash (C),9,9
Y24H5780303,1,Glen Eira (C),9,9
Y24H5780308,1,Glen Eira (C),18,18
Y24H5780309,1,Glen Eira (C),10,10
Y24H5780311,2,Glen Eira (C),17,17
Y24H5780314,2,Glen Eira (C),6,6
Y24H5780315,2,Glen Eira (C),7,7
Y24H5780318,4,Glen Eira (C),14,14
Y24H5780319,1,Glen Eira (C),4,4
Y24H5780320,1,Glen Eira (C),16,16
Y24H5780322,2,Glen Eira (C),14,14
Y24H5780323,0,Glen Eira (C),9,9
Y24H5780324,2,Glen Eira (C),18,18
Y24H5780325,0,Glen Eira (C),6,6
Y24H5780327,5,Glen Eira (C),12,12
Y24H5780328,1,Glen Eira (C),9,9
Y24H5780330,3,Glen Eira (C),13,13
Y24H5780334,1,Glen Eira (C),18,18
Y24H5780338,1,Glen Eira (C),4,4
Y24H5780341,1,Glen Eira (C),17,17
Y24H5780401,0,Merri-bek (C),12,12
Y24H5780404,0,Merri-bek (C),11,11
Y24H5780405,1,Merri-bek (C),16,16
Y24H5780406,1,Merri-bek (C),9,9
Y24H5780407,0,Merri-bek (C),12,12
Y24H5780411,1,Merri-bek (C),8,8
Y24H5780414,0,Merri-bek (C),14,14
Y24H5780416,1,Merri-bek (C),11,11
Y24H5780417,2,Merri-bek (C),17,17
Y24H5780419,1,Merri-bek (C),9,9
Y24H5780426,0,Merri-bek (C),8,8
Y24H5780427,0,Merri-bek (C),8,8
Y24H5780431,1,Merri-bek (C),14,14
Y24H5780432,0,Merri-bek (C),12,12
Y24H5780434,1,Merri-bek (C),8,8
Y24H5780436,1,Merri-bek (C),0,0
Y24H5780440,1,Merri-bek (C),14,14
Y24H5790103,4,Casey (C),15,15
Y24H5790105,3,Casey (C),8,8
Y24H5790106,2,Casey (C),15,15
Y24H5790114,2,Casey (C),15,15
Y24H5790118,1,Casey (C),1,1
Y24H5790122,2,Casey (C),17,17
Y24H5790123,2,Casey (C),9,9
Y24H5790124,2,Casey (C),6,6
Y24H5790125,2,Casey (C),18,18
Y24H5790128,1,Casey (C),3,3
Y24H5790129,2,Casey (C),13,13
Y24H5790133,1,Casey (C),4,4
Y24H5790134,1,Casey (C),6,6
Y24H5790135,3,Casey (C),13,13
Y24H5790139,1,Casey (C),7,7
Y24H5790141,2,Casey (C),14,14
Y24H5790142,1,Casey (C),8,8
Y24H5790203,1,Monash (C),9,9
Y24H5790206,3,Monash (C),14,14
Y24H5790208,2,Monash (C),10,10
Y24H5790210,3,Monash (C),13,13
Y24H5790212,3,Monash (C),15,15
Y24H5790214,1,Monash (C),12,12
Y24H5790215,2,Monash (C),17,17
Y24H5790217,1,Monash (C),13,13
Y24H5790218,1,Monash (C),13,13
Y24H5790219,1,Monash (C),7,7
Y24H5790220,1,Monash (C),9,9
Y24H5790222,1,Monash (C),4,4
Y24H5790223,3,Monash (C),12,12
Y24H5790224,2,Monash (C),14,14
Y24H5790227,1,Monash (C),10,10
Y24H5790230,2,Monash (C),13,13
Y24H5790232,1,Monash (C),9,9
Y24H5790237,2,Monash (C),13,13
Y24H5790238,2,Monash (C),10,10
Y24H5790239,2,Monash (C),13,13
Y24H5790240,1,Monash (C),16,16
Y24H5790241,0,Monash (C),4,4
Y24H5790302,2,Bayside (C),13,13
Y24H5790303,1,Bayside (C),10,10
Y24H5790307,1,Bayside (C),2,2
Y24H5790311,0,Bayside (C),2,2
Y24H5790313,1,Bayside (C),6,6
Y24H5790314,1,Bayside (C),6,6
Y24H5790316,3,Bayside (C),18,18
Y24H5790319,1,Bayside (C),14,14
Y24H5790321,2,Bayside (C),18,18
Y24H5790322,1,Bayside (C),6,6
Y24H5790324,1,Bayside (C),14,14
Y24H5790326,1,Bayside (C),6,6
Y24H5790327,2,Bayside (C),18,18
Y24H5790332,1,Bayside (C),14,14
Y24H5790339,1,Bayside (C),4,4
Y24H5790342,0,Bayside (C),10,10
Y24H5790502,2,Brimbank (C),18,18
Y24H5790506,1,Brimbank (C),3,3
Y24H5790508,2,Brimbank (C),12,12
Y24H5790512,4,Brimbank (C),17,17
Y24H5790513,4,Brimbank (C),7,7
Y24H5790520,2,Brimbank (C),10,10
Y24H5790523,0,Brimbank (C),4,4
Y24H5790530,2,Brimbank (C),12,12
Y24H5790531,2,Brimbank (C),8,8
Y24H5790533,0,Brimbank (C),12,12
Y24H5790534,1,Brimbank (C),3,3
Y24H5790536,2,Brimbank (C),8,8
Y24H5790537,1,Brimbank (C),9,9
Y24H5790538,1,Brimbank (C),3,3
Y24H5790541,1,Brimbank (C),6,6
Y24H5790542,3,Brimbank (C),10,10
Y24H5800202,2,Boroondara (C),14,14
Y24H5800205,0,Boroondara (C),7,7
Y24H5800207,2,Boroondara (C),18,18
Y24H5800209,0,Boroondara (C),6,6
Y24H5800210,2,Boroondara (C),17,17
Y24H5800211,1,Boroondara (C),6,6
Y24H5800215,2,Boroondara (C),14,14
Y24H5800216,2,Boroondara (C),18,18
Y24H5800217,4,Boroondara (C),16,16
Y24H5800218,2,Boroondara (C),8,8
Y24H5800219,1,Boroondara (C),11,11
Y24H5800224,2,Whitehorse (C),11,11
Y24H5800231,3,Whitehorse (C),16,16
Y24H5800232,0,Whitehorse (C),6,6
Y24H5800234,1,Whitehorse (C),12,12
Y24H5800235,0,Whitehorse (C),9,9
Y24H5800237,4,Whitehorse (C),18,18
Y24H5800239,1,Whitehorse (C),4,4
Y24H5800242,1,Whitehorse (C),5,5
Y24H5800308,0,Melbourne (C),3,3
Y24H5800322,0,Melbourne (C),12,12
Y24H5800327,0,Melbourne (C),16,16
Y24H5800338,0,Melbourne (C),3,3
Y24H5800406,2,Merri-bek (C),9,9
Y24H5800407,1,Merri-bek (C),17,17
Y24H5800410,3,Merri-bek (C),16,16
Y24H5800420,2,Merri-bek (C),8,8
Y24H5800421,2,Merri-bek (C),17,17
Y24H5800423,1,Merri-bek (C),4,4
Y24H5800436,0,Merri-bek (C),11,11
Y24H5800438,1,Merri-bek (C),11,11
Y24H5800439,3,Merri-bek (C),18,18
Y24H5800442,2,Merri-bek (C),7,7
Y24H5800502,0,Hobsons Bay (C),15,15
Y24H5800529,2,Hobsons Bay (C),18,18
Y24H5800534,2,Hobsons Bay (C),16,16
Y24H5800540,2,Hobsons Bay (C),2,2
Y24H5800542,1,Hobsons Bay (C),4,4
Y24H5810101,4,Casey (C),15,15
Y24H5810102,2,Casey (C),11,11
Y24H5810105,3,Casey (C),19,19
Y24H5810106,1,Casey (C),12,12
Y24H5810108,1,Casey (C),10,10
Y24H5810115,2,Casey (C),17,17
Y24H5810123,3,Casey (C),13,13
Y24H5810126,2,Casey (C),14,14
Y24H5810129,1,Casey (C),12,12
Y24H5810136,1,Casey (C),4,4
Y24H5810140,3,Casey (C),13,13
Y24H5810141,1,Casey (C),9,9
Y24H5810202,1,Knox (C),3,3
Y24H5810203,2,Knox (C),10,10
Y24H5810205,3,Knox (C),13,13
Y24H5810206,4,Knox (C),17,17
Y24H5810209,3,Knox (C),13,13
Y24H5810215,4,Knox (C),4,4
Y24H5810218,3,Knox (C),18,18
Y24H5810226,1,Maroondah (C),4,4
Y24H5810228,2,Maroondah (C),11,11
Y24H5810229,5,Maroondah (C),12,12
Y24H5810231,4,Maroondah (C),13,13
Y24H5810232,1,Maroondah (C),10,10
Y24H5810233,2,Maroondah (C),18,18
Y24H5810235,1,Maroondah (C),12,12
Y24H5810236,4,Maroondah (C),17,17
Y24H5810237,1,Maroondah (C),12,12
Y24H5810241,2,Maroondah (C),8,8
Y24H5810401,1,Merri-bek (C),12,12
Y24H5810407,1,Merri-bek (C),14,14
Y24H5810409,1,Merri-bek (C),6,6
Y24H5810415,1,Merri-bek (C),2,2
Y24H5810416,0,Merri-bek (C),5,5
Y24H5810418,1,Merri-bek (C),12,12
Y24H5810421,0,Merri-bek (C),7,7
Y24H5810423,2,Merri-bek (C),18,18
Y24H5810425,1,Merri-bek (C),3,3
Y24H5810427,0,Merri-bek (C),4,4
Y24H5810431,1,Merri-bek (C),10,10
Y24H5810432,0,Merri-bek (C),1,1
Y24H5810433,2,Merri-bek (C),17,17
Y24H5810435,1,Merri-bek (C),9,9
Y24H5810438,2,Merri-bek (C),18,18
Y24H5810501,3,Melton (S),7,7
Y24H5810506,2,Melton (S),3,3
Y24H5810508,2,Melton (S),17,17
Y24H5810509,1,Melton (S),13,13
Y24H5810511,2,Melton (S),2,2
Y24H5810514,2,Melton (S),5,5
Y24H5810522,1,Melton (S),2,2
Y24H5810524,3,Melton (S),10,10
Y24H5810526,2,Melton (S),18,18
Y24H5810529,2,Melton (S),13,13
Y24H5810530,4,Melton (S),12,12
Y24H5810532,1,Melton (S),9,9
Y24H5810534,1,Melton (S),5,5
Y24H5810540,2,Melton (S),12,12
Y24H5820101,4,Casey (C),11,11
Y24H5820103,2,Casey (C),12,12
Y24H5820105,1,Casey (C),12,12
Y24H5820106,1,Casey (C),4,4
Y24H5820108,4,Casey (C),11,11
Y24H5820109,1,Casey (C),8,8
Y24H5820111,2,Casey (C),18,18
Y24H5820112,2,Casey (C),13,13
Y24H5820114,4,Casey (C),19,19
Y24H5820117,1,Casey (C),11,11
Y24H5820121,1,Casey (C),12,12
Y24H5820128,3,Casey (C),13,13
Y24H5820129,2,Casey (C),12,12
Y24H5820131,3,Casey (C),10,10
Y24H5820136,2,Casey (C),15,15
Y24H5820138,2,Casey (C),9,9
Y24H5820139,2,Casey (C),8,8
Y24H5820141,2,Casey (C),17,17
Y24H5820142,2,Casey (C),10,10
Y24H5820304,1,Melbourne (C),11,11
Y24H5820308,1,Melbourne (C),12,12
Y24H5820316,1,Melbourne (C),13,13
Y24H5820320,1,Melbourne (C),16,16
Y24H5820324,2,Melbourne (C),17,17
Y24H5820325,1,Melbourne (C),14,14
Y24H5820326,2,Melbourne (C),12,12
Y24H5820327,1,Melbourne (C),6,6
Y24H5820328,2,Melbourne (C),14,14
Y24H5820329,2,Melbourne (C),11,11
Y24H5820330,2,Melbourne (C),17,17
Y24H5820331,1,Melbourne (C),14,14
Y24H5820334,1,Melbourne (C),18,18
Y24H5820335,2,Melbourne (C),18,18
Y24H5820336,0,Melbourne (C),12,12
Y24H5820337,3,Melbourne (C),15,15
Y24H5820339,1,Melbourne (C),9,9
Y24H5820342,1,Melbourne (C),10,10
Y24H5820401,2,Whittlesea (C),12,12
Y24H5820408,1,Whittlesea (C),12,12
Y24H5820409,2,Whittlesea (C),14,14
Y24H5820411,3,Whittlesea (C),14,14
Y24H5820416,4,Whittlesea (C),9,9
Y24H5820417,2,Whittlesea (C),13,13
Y24H5820420,1,Whittlesea (C),14,14
Y24H5820424,2,Hume (C),11,11
Y24H5820425,2,Hume (C),12,12
Y24H5820428,2,Hume (C),10,10
Y24H5820437,2,Hume (C),15,15
Y24H5820439,2,Hume (C),12,12
Y24H5820440,2,Hume (C),14,14
Y24H5820441,2,Hume (C),0,0
Y24H5820508,1,Wyndham (C),3,3
Y24H5820511,2,Wyndham (C),18,18
Y24H5820514,2,Wyndham (C),11,11
Y24H5820519,3,Wyndham (C),1,1
Y24H5820521,2,Wyndham (C),16,16
Y24H5820522,1,Wyndham (C),12,12
Y24H5820523,0,Wyndham (C),9,9
Y24H5820524,2,Wyndham (C),11,11
Y24H5820525,2,Wyndham (C),18,18
Y24H5820526,3,Wyndham (C),18,18
Y24H5820527,2,Wyndham (C),14,14
Y24H5820528,2,Wyndham (C),13,13
Y24H5820529,2,Wyndham (C),17,17
Y24H5820531,4,Wyndham (C),10,10
Y24H5820532,2,Wyndham (C),13,13
Y24H5820535,2,Wyndham (C),17,17
Y24H5820537,1,Wyndham (C),14,14
Y24H5820538,2,Wyndham (C),13,13
Y24H5820540,1,Wyndham (C),9,9
Y24H5820542,2,Wyndham (C),13,13
Y24H5830101,3,Kingston (C),18,18
Y24H5830102,3,Kingston (C),14,14
Y24H5830104,2,Kingston (C),12,12
Y24H5830108,2,Kingston (C),13,13
Y24H5830110,2,Kingston (C),12,12
Y24H5830113,2,Kingston (C),10,10
Y24H5830115,4,Kingston (C),15,15
Y24H5830118,3,Kingston (C),17,17
Y24H5830120,4,Kingston (C),16,16
Y24H5830122,1,Kingston (C),7,7
Y24H5830124,2,Kingston (C),12,12
Y24H5830127,1,Kingston (C),10,10
Y24H5830128,1,Kingston (C),11,11
Y24H5830129,2,Kingston (C),10,10
Y24H5830131,2,Kingston (C),4,4
Y24H5830132,1,Kingston (C),8,8
Y24H5830134,0,Kingston (C),0,0
Y24H5830135,2,Kingston (C),17,17
Y24H5830141,2,Kingston (C),8,8
Y24H5830142,2,Kingston (C),15,15
Y24H5830201,1,Knox (C),0,0
Y24H5830202,3,Knox (C),14,14
Y24H5830203,1,Knox (C),10,10
Y24H5830204,1,Knox (C),6,6
Y24H5830207,2,Knox (C),10,10
Y24H5830209,1,Knox (C),5,5
Y24H5830210,1,Knox (C),8,8
Y24H5830212,0,Knox (C),3,3
Y24H5830213,1,Knox (C),9,9
Y24H5830215,2,Knox (C),14,14
Y24H5830216,1,Knox (C),7,7
Y24H5830217,2,Knox (C),13,13
Y24H5830218,2,Knox (C),6,6
Y24H5830219,2,Knox (C),15,15
Y24H5830222,2,Knox (C),16,16
Y24H5830224,2,Knox (C),9,9
Y24H5830225,2,Knox (C),14,14
Y24H5830226,2,Knox (C),11,11
Y24H5830235,2,Knox (C),13,13
Y24H5830238,3,Knox (C),4,4
Y24H5830240,2,Knox (C),13,13
Y24H5830313,0,Port Phillip (C),14,14
Y24H5830314,1,Port Phillip (C),7,7
Y24H5830322,1,Stonnington (C),15,15
Y24H5830328,1,Stonnington (C),10,10
Y24H5830502,1,Brimbank (C),9,9
Y24H5830505,1,Brimbank (C),12,12
Y24H5830508,3,Brimbank (C),12,12
Y24H5830513,2,Brimbank (C),13,13
Y24H5830516,1,Brimbank (C),12,12
Y24H5830525,1,Hobsons Bay (C),6,6
Y24H5830528,1,Hobsons Bay (C),5,5
Y24H5830539,1,Hobsons Bay (C),12,12
Y24H5830540,1,Hobsons Bay (C),13,13
Y24H5830542,3,Hobsons Bay (C),13,13
Y24H5840209,1,Whitehorse (C),6,6
Y24H5840211,1,Whitehorse (C),12,12
Y24H5840214,1,Whitehorse (C),10,10
Y24H5840218,1,Whitehorse (C),5,5
Y24H5840220,2,Whitehorse (C),9,9
Y24H5840222,3,Manningham (C),7,7
Y24H5840227,1,Manningham (C),6,6
Y24H5840229,1,Manningham (C),5,5
Y24H5840230,1,Manningham (C),5,5
Y24H5840231,0,Manningham (C),6,6
Y24H5840241,0,Manningham (C),9,9
Y24H5840301,2,Glen Eira (C),17,17
Y24H5840302,1,Glen Eira (C),12,12
Y24H5840305,1,Glen Eira (C),8,8
Y24H5840309,1,Glen Eira (C),12,12
Y24H5840315,2,Glen Eira (C),14,14
Y24H5840316,1,Glen Eira (C),15,15
Y24H5840319,2,Glen Eira (C),14,14
Y24H5840321,1,Glen Eira (C),8,8
Y24H5840322,1,Glen Eira (C),15,15
Y24H5840325,0,Glen Eira (C),12,12
Y24H5840328,1,Glen Eira (C),17,17
Y24H5840331,1,Glen Eira (C),2,2
Y24H5840333,2,Glen Eira (C),9,9
Y24H5840334,2,Glen Eira (C),14,14
Y24H5840335,1,Glen Eira (C),8,8
Y24H5840340,1,Glen Eira (C),11,11
Y24H5840341,1,Glen Eira (C),8,8
Y24H5840402,2,Hume (C),14,14
Y24H5840412,2,Hume (C),13,13
Y24H5840422,2,Hume (C),18,18
Y24H5840425,1,Hume (C),9,9
Y24H5840429,1,Hume (C),5,5
Y24H5840431,2,Hume (C),11,11
Y24H5840501,2,Melton (S),19,19
Y24H5840503,3,Melton (S),12,12
Y24H5840504,1,Melton (S),14,14
Y24H5840509,1,Melton (S),13,13
Y24H5840512,3,Melton (S),19,19
Y24H5840516,2,Melton (S),12,12
Y24H5840517,2,Melton (S),12,12
Y24H5840518,1,Melton (S),12,12
Y24H5840520,2,Melton (S),9,9
Y24H5840528,1,Melton (S),12,12
Y24H5840532,1,Melton (S),13,13
Y24H5840535,1,Melton (S),3,3
Y24H5840537,1,Melton (S),10,10
Y24H5840538,2,Melton (S),10,10
Y24H5840539,1,Melton (S),5,5
Y24H5850202,1,Knox (C),18,18
Y24H5850203,0,Knox (C),4,4
Y24H5850205,2,Knox (C),11,11
Y24H5850206,1,Knox (C),4,4
Y24H5850208,2,Knox (C),6,6
Y24H5850211,3,Knox (C),1,1
Y24H5850212,3,Knox (C),17,17
Y24H5850219,2,Knox (C),18,18
Y24H5850220,4,Knox (C),13,13
Y24H5850224,2,Knox (C),9,9
Y24H5850228,2,Knox (C),15,15
Y24H5850231,1,Knox (C),8,8
Y24H5850234,0,Knox (C),10,10
Y24H5850235,2,Knox (C),9,9
Y24H5850238,1,Knox (C),7,7
Y24H5850239,2,Knox (C),13,13
Y24H5850240,1,Knox (C),12,12
Y24H5850302,0,Melbourne (C),17,17
Y24H5850309,0,Melbourne (C),14,14
Y24H5850310,4,Melbourne (C),13,13
Y24H5850311,1,Melbourne (C),15,15
Y24H5850312,1,Melbourne (C),8,8
Y24H5850317,1,Melbourne (C),7,7
Y24H5850318,1,Melbourne (C),12,12
Y24H5850319,0,Melbourne (C),15,15
Y24H5850320,1,Melbourne (C),5,5
Y24H5850321,0,Melbourne (C),10,10
Y24H5850332,0,Yarra (C),10,10
Y24H5850334,0,Yarra (C),10,10
Y24H5850339,0,Yarra (C),12,12
Y24H5850340,0,Yarra (C),12,12
Y24H5850342,0,Yarra (C),6,6
Y24H5850505,1,Melton (S),12,12
Y24H5850506,3,Melton (S),17,17
Y24H5850508,3,Melton (S),14,14
Y24H5850515,1,Melton (S),12,12
Y24H5850516,1,Melton (S),6,6
Y24H5850517,2,Melton (S),11,11
Y24H5850521,1,Melton (S),13,13
Y24H5850524,3,Wyndham (C),12,12
Y24H5850531,1,Wyndham (C),8,8
Y24H5850540,2,Wyndham (C),11,11
Y24H5860101,2,Frankston (C),6,6
Y24H5860103,3,Frankston (C),7,7
