hhid,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,homesubregion_ASGS,homeregion_ASGS,dayType,weekly_hhinc_group,annual_hhinc_group
Y24H5740129,4,Separate House,Being Purchased,0,3,July,Monday,Casey (C),40->44,55->59,75->79,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5740131,4,Separate House,Being Purchased,10,2,July,Wednesday,Casey (C),15->19,30->34,50->54,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5740135,4,Separate House,Fully Owned,4,2,July,Sunday,Casey (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekend,17,17
Y24H5740139,2,Separate House,Fully Owned,0,3,July,Thursday,Casey (C),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5740305,1,"Unit, Flat or Apartment",Fully Owned,2,1,July,Friday,Stonnington (C),60->64,60->64,60->64,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H5740309,2,"Unit, Flat or Apartment",Fully Owned,0,1,July,Tuesday,Stonnington (C),75->79,80->84,80->84,MELB - Inner,Greater Melbourne,Weekday,18,18
Y24H5740317,2,"Unit, Flat or Apartment",Fully Owned,0,2,July,Wednesday,Stonnington (C),85->89,85->89,85->89,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H5740318,1,"Unit, Flat or Apartment",Fully Owned,0,0,July,Thursday,Stonnington (C),85->89,85->89,85->89,MELB - Inner,Greater Melbourne,Weekday,2,2
Y24H5740326,1,Separate House,Fully Owned,2,1,July,Friday,Stonnington (C),65->69,65->69,65->69,MELB - Inner,Greater Melbourne,Weekday,8,8
Y24H5740328,1,Terrace or Townhouse,Being Rented,Missing/Refused,1,July,Sunday,Stonnington (C),55->59,55->59,55->59,MELB - Inner,Greater Melbourne,Weekend,8,8
Y24H5740331,2,Separate House,Fully Owned,3,2,July,Wednesday,Stonnington (C),60->64,60->64,60->64,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H5740337,2,Terrace or Townhouse,Being Rented,1,1,July,Tuesday,Stonnington (C),15->19,20->24,25->29,MELB - Inner,Greater Melbourne,Weekday,5,5
Y24H5740340,2,"Unit, Flat or Apartment",Being Rented,2,1,July,Friday,Stonnington (C),15->19,35->39,55->59,MELB - Inner,Greater Melbourne,Weekday,6,6
Y24H5740501,4,Terrace or Townhouse,Being Purchased,2,1,July,Monday,Wyndham (C),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5740505,3,Separate House,Being Rented,1,1,July,Friday,Wyndham (C),5->9,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,0,0
Y24H5740510,3,Separate House,Being Rented,0,1,July,Wednesday,Wyndham (C),5->9,25->29,40->44,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5740514,3,Separate House,Fully Owned,0,1,July,Sunday,Wyndham (C),0->4,25->29,35->39,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H5740517,2,"Unit, Flat or Apartment",Being Rented,0,3,July,Wednesday,Wyndham (C),35->39,35->39,35->39,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5740519,3,Separate House,Fully Owned,0,3,July,Friday,Wyndham (C),15->19,35->39,45->49,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H5740520,2,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,2,July,Saturday,Wyndham (C),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5740522,4,Separate House,Fully Owned,0,1,July,Monday,Wyndham (C),5->9,25->29,40->44,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5740525,5,Separate House,Fully Owned,3,2,July,Thursday,Wyndham (C),0->4,15->19,35->39,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5740529,4,Separate House,Fully Owned,0,1,July,Monday,Wyndham (C),5->9,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5740530,3,Separate House,Being Rented,0,1,July,Tuesday,Wyndham (C),10->14,35->39,55->59,MELB - Outer,Greater Melbourne,Weekday,17,17
Y24H5740532,2,Separate House,Fully Owned,2,1,July,Thursday,Wyndham (C),35->39,35->39,35->39,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5740533,4,Separate House,Fully Owned,1,2,July,Friday,Wyndham (C),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,3,3
Y24H5740534,2,Separate House,Being Purchased,0,1,July,Saturday,Wyndham (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H5740536,1,Separate House,Being Purchased,1,1,July,Monday,Wyndham (C),25->29,25->29,25->29,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5740539,2,Separate House,Being Rented,0,1,July,Thursday,Wyndham (C),25->29,25->29,25->29,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5740541,2,Separate House,Being Rented,0,1,July,Saturday,Wyndham (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekend,14,14
Y24H5750105,1,Separate House,Being Purchased,5,0,August,Friday,Mornington Peninsula (S),50->54,50->54,50->54,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5750106,1,Separate House,Being Rented,2,1,August,Saturday,Mornington Peninsula (S),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekend,4,4
Y24H5750108,2,Separate House,Fully Owned,2,3,July,Monday,Mornington Peninsula (S),65->69,65->69,70->74,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5750115,1,Separate House,Fully Owned,0,3,July,Monday,Mornington Peninsula (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5750116,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Tuesday,Mornington Peninsula (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H5750117,1,Terrace or Townhouse,Fully Owned,0,2,August,Wednesday,Mornington Peninsula (S),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5750123,2,Separate House,Fully Owned,0,2,August,Tuesday,Mornington Peninsula (S),65->69,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H5750127,1,Separate House,Fully Owned,0,1,August,Saturday,Mornington Peninsula (S),80->84,80->84,80->84,MELB - Outer,Greater Melbourne,Weekend,5,5
Y24H5750134,1,Separate House,Fully Owned,2,1,August,Saturday,Mornington Peninsula (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5750202,3,Separate House,Fully Owned,0,2,August,Tuesday,Whitehorse (C),0->4,20->24,30->34,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5750203,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Wednesday,Whitehorse (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,4,4
Y24H5750204,2,Separate House,Being Purchased,0,1,August,Thursday,Whitehorse (C),15->19,30->34,40->44,MELB - Middle,Greater Melbourne,Weekday,3,3
Y24H5750205,2,"Unit, Flat or Apartment",Fully Owned,0,2,August,Friday,Whitehorse (C),25->29,40->44,60->64,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5750206,5,"Unit, Flat or Apartment",Being Rented,0,2,August,Saturday,Whitehorse (C),15->19,30->34,45->49,MELB - Middle,Greater Melbourne,Weekend,15,15
Y24H5750207,3,Separate House,Fully Owned,1,1,August,Sunday,Whitehorse (C),5->9,25->29,40->44,MELB - Middle,Greater Melbourne,Weekend,12,12
Y24H5750208,2,Separate House,Fully Owned,Missing/Refused,2,July,Monday,Whitehorse (C),60->64,60->64,65->69,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5750211,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Thursday,Whitehorse (C),50->54,50->54,50->54,MELB - Middle,Greater Melbourne,Weekday,5,5
Y24H5750216,3,Terrace or Townhouse,Being Purchased,0,1,August,Tuesday,Whitehorse (C),15->19,25->29,50->54,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5750217,2,"Unit, Flat or Apartment",Fully Owned,0,2,August,Wednesday,Whitehorse (C),20->24,40->44,55->59,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5750218,1,"Unit, Flat or Apartment",Being Purchased,0,1,August,Thursday,Whitehorse (C),50->54,50->54,50->54,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5750224,4,Separate House,Fully Owned,2,3,August,Wednesday,Whitehorse (C),15->19,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,6,6
Y24H5750233,4,"Unit, Flat or Apartment",Being Rented,0,1,August,Friday,Whitehorse (C),15->19,20->24,20->24,MELB - Middle,Greater Melbourne,Weekday,2,2
Y24H5750234,2,Terrace or Townhouse,Being Rented,0,1,August,Saturday,Whitehorse (C),25->29,25->29,30->34,MELB - Middle,Greater Melbourne,Weekend,11,11
Y24H5750235,4,Separate House,Being Purchased,1,2,August,Sunday,Whitehorse (C),15->19,40->44,50->54,MELB - Middle,Greater Melbourne,Weekend,17,17
Y24H5750239,5,Separate House,Fully Owned,5,4,August,Thursday,Whitehorse (C),20->24,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5750241,2,Terrace or Townhouse,Fully Owned,0,2,August,Saturday,Whitehorse (C),30->34,30->34,35->39,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5750309,3,Separate House,Fully Owned,0,2,August,Tuesday,Maribyrnong (C),15->19,35->39,50->54,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5750310,1,"Unit, Flat or Apartment",Being Purchased,0,1,August,Wednesday,Maribyrnong (C),45->49,45->49,45->49,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5750311,2,Separate House,Being Purchased,1,1,August,Thursday,Maribyrnong (C),40->44,45->49,45->49,MELB - Middle,Greater Melbourne,Weekday,15,15
Y24H5750318,1,"Unit, Flat or Apartment",Fully Owned,0,0,August,Thursday,Maribyrnong (C),55->59,55->59,55->59,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5750320,5,Separate House,Being Purchased,8,2,August,Saturday,Maribyrnong (C),15->19,25->29,45->49,MELB - Middle,Greater Melbourne,Weekend,15,15
Y24H5750324,4,"Unit, Flat or Apartment",Being Rented,0,1,August,Wednesday,Maribyrnong (C),0->4,20->24,40->44,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5750333,4,Terrace or Townhouse,Fully Owned,1,3,August,Friday,Maribyrnong (C),15->19,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,19,19
Y24H5750340,1,Separate House,Fully Owned,0,1,August,Friday,Maribyrnong (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,3,3
Y24H5750342,2,Separate House,Being Rented,0,2,August,Sunday,Maribyrnong (C),30->34,35->39,40->44,MELB - Middle,Greater Melbourne,Weekend,10,10
Y24H5750401,4,Separate House,Being Rented,0,2,July,Monday,Whittlesea (C),20->24,25->29,30->34,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5750403,5,"Unit, Flat or Apartment",Being Rented,0,2,August,Wednesday,Whittlesea (C),10->14,25->29,40->44,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5750404,3,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,3,August,Thursday,Whittlesea (C),15->19,40->44,50->54,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5750412,7,Separate House,Being Rented,0,2,August,Friday,Whittlesea (C),5->9,20->24,45->49,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5750413,5,Separate House,Being Purchased,2,2,August,Saturday,Whittlesea (C),5->9,25->29,45->49,MELB - Outer,Greater Melbourne,Weekend,13,13
Y24H5750415,3,Separate House,Being Purchased,1,2,July,Monday,Whittlesea (C),5->9,25->29,40->44,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5750417,6,Separate House,Being Purchased,3,3,August,Wednesday,Whittlesea (C),0->4,25->29,65->69,MELB - Outer,Greater Melbourne,Weekday,2,2
Y24H5750418,5,Separate House,Being Rented,3,4,August,Thursday,Whittlesea (C),10->14,30->34,50->54,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5750419,3,Separate House,Fully Owned,0,2,August,Friday,Whittlesea (C),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5750420,1,Separate House,Being Purchased,1,2,August,Saturday,Whittlesea (C),40->44,40->44,40->44,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H5750424,2,Separate House,Fully Owned,0,2,August,Wednesday,Whittlesea (C),50->54,55->59,60->64,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5750426,3,Separate House,Being Purchased,1,1,August,Friday,Whittlesea (C),5->9,25->29,40->44,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5750430,5,Separate House,Being Rented,0,2,August,Tuesday,Whittlesea (C),0->4,15->19,35->39,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5750431,2,Separate House,Fully Owned,0,1,August,Wednesday,Whittlesea (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5750436,5,Separate House,Being Rented,4,2,July,Monday,Whittlesea (C),0->4,25->29,55->59,MELB - Outer,Greater Melbourne,Weekday,2,2
Y24H5750437,2,Separate House,Being Purchased,1,1,August,Tuesday,Whittlesea (C),30->34,35->39,35->39,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5750442,2,Separate House,Being Purchased,2,1,August,Sunday,Whittlesea (C),30->34,30->34,35->39,MELB - Outer,Greater Melbourne,Weekend,11,11
Y24H5760202,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Tuesday,Manningham (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5760203,4,Separate House,Being Purchased,8,2,August,Wednesday,Manningham (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5760204,2,Separate House,Fully Owned,1,2,August,Thursday,Manningham (C),70->74,70->74,75->79,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5760205,1,Separate House,Fully Owned,0,1,August,Friday,Manningham (C),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H5760206,5,Separate House,Fully Owned,0,4,August,Saturday,Manningham (C),35->39,65->69,95->99,MELB - Outer,Greater Melbourne,Weekend,16,16
Y24H5760207,1,Separate House,Fully Owned,Missing/Refused,1,August,Sunday,Manningham (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekend,7,7
Y24H5760209,2,Separate House,Being Rented,0,3,August,Tuesday,Manningham (C),60->64,60->64,65->69,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5760211,1,Separate House,Fully Owned,0,1,August,Thursday,Manningham (C),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H5760215,3,Separate House,Being Purchased,1,2,August,Monday,Manningham (C),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5760217,2,Separate House,Fully Owned,0,3,August,Wednesday,Manningham (C),60->64,65->69,70->74,MELB - Outer,Greater Melbourne,Weekday,3,3
Y24H5760218,1,Separate House,Fully Owned,Missing/Refused,0,August,Thursday,Manningham (C),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5760224,2,Separate House,Fully Owned,0,2,August,Wednesday,Manningham (C),70->74,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5760228,2,Separate House,Fully Owned,2,2,August,Sunday,Manningham (C),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekend,11,11
Y24H5760231,3,Separate House,Being Purchased,0,3,August,Wednesday,Manningham (C),20->24,40->44,50->54,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5760232,3,Separate House,Being Purchased,3,3,August,Thursday,Manningham (C),5->9,35->39,50->54,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5760235,3,Separate House,Being Purchased,0,4,August,Sunday,Manningham (C),20->24,40->44,55->59,MELB - Outer,Greater Melbourne,Weekend,18,18
Y24H5760236,2,Separate House,Fully Owned,1,2,August,Monday,Manningham (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5760237,2,Separate House,Being Purchased,2,2,August,Tuesday,Manningham (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,17,17
Y24H5760238,2,Separate House,Fully Owned,1,1,August,Wednesday,Manningham (C),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5760240,2,Separate House,Fully Owned,2,2,August,Friday,Manningham (C),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5760242,4,Separate House,Being Purchased,Missing/Refused,3,August,Sunday,Manningham (C),15->19,30->34,50->54,MELB - Outer,Greater Melbourne,Weekend,16,16
Y24H5760307,4,Terrace or Townhouse,Being Purchased,0,1,August,Sunday,Bayside (C),0->4,10->14,40->44,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5760312,2,Separate House,Fully Owned,0,1,August,Friday,Bayside (C),70->74,70->74,75->79,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5760313,4,Terrace or Townhouse,Being Rented,0,2,August,Saturday,Bayside (C),10->14,30->34,50->54,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5760314,4,Terrace or Townhouse,Fully Owned,0,2,August,Sunday,Bayside (C),0->4,20->24,40->44,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5760323,2,Separate House,Fully Owned,0,2,August,Tuesday,Bayside (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5760326,2,Terrace or Townhouse,Being Rented,Missing/Refused,2,August,Friday,Bayside (C),45->49,45->49,45->49,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5760327,3,"Unit, Flat or Apartment",Being Rented,2,1,August,Saturday,Bayside (C),0->4,25->29,40->44,MELB - Middle,Greater Melbourne,Weekend,12,12
Y24H5760328,2,Terrace or Townhouse,Fully Owned,0,1,August,Sunday,Bayside (C),55->59,60->64,60->64,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H5760329,4,Separate House,Being Purchased,3,3,August,Monday,Bayside (C),15->19,30->34,50->54,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5760330,2,Terrace or Townhouse,Fully Owned,1,3,August,Tuesday,Bayside (C),60->64,60->64,65->69,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5760331,3,Separate House,Being Purchased,1,1,August,Wednesday,Bayside (C),5->9,25->29,40->44,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5760335,2,"Unit, Flat or Apartment",Being Rented,0,1,August,Sunday,Bayside (C),30->34,40->44,45->49,MELB - Middle,Greater Melbourne,Weekend,18,18
Y24H5760336,2,Separate House,Fully Owned,1,2,August,Monday,Bayside (C),50->54,65->69,80->84,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5760338,2,Separate House,Fully Owned,0,2,August,Wednesday,Bayside (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5760339,1,Separate House,Fully Owned,0,1,August,Thursday,Bayside (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5760341,5,Separate House,Being Purchased,4,3,August,Saturday,Bayside (C),15->19,30->34,50->54,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5760405,2,Separate House,Fully Owned,1,2,August,Friday,Moonee Valley (C),80->84,80->84,80->84,MELB - Inner,Greater Melbourne,Weekday,6,6
Y24H5760406,4,Terrace or Townhouse,Being Rented,4,2,August,Saturday,Moonee Valley (C),5->9,30->34,55->59,MELB - Inner,Greater Melbourne,Weekend,11,11
Y24H5760407,2,Separate House,Being Rented,1,1,August,Sunday,Moonee Valley (C),35->39,35->39,40->44,MELB - Inner,Greater Melbourne,Weekend,13,13
Y24H5760409,1,"Unit, Flat or Apartment",Being Purchased,0,1,August,Tuesday,Moonee Valley (C),45->49,45->49,45->49,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H5760411,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Thursday,Moonee Valley (C),75->79,75->79,75->79,MELB - Inner,Greater Melbourne,Weekday,6,6
Y24H5760412,1,Terrace or Townhouse,Fully Owned,2,1,August,Friday,Moonee Valley (C),80->84,80->84,80->84,MELB - Inner,Greater Melbourne,Weekday,5,5
Y24H5760413,3,Separate House,Being Rented,2,1,August,Saturday,Moonee Valley (C),10->14,20->24,40->44,MELB - Inner,Greater Melbourne,Weekend,14,14
Y24H5760414,3,Terrace or Townhouse,Being Rented,3,1,August,Sunday,Moonee Valley (C),15->19,25->29,50->54,MELB - Inner,Greater Melbourne,Weekend,8,8
Y24H5760417,2,Separate House,Fully Owned,0,1,August,Wednesday,Moonee Valley (C),65->69,70->74,70->74,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H5760420,1,"Unit, Flat or Apartment",Occupied Rent-Free,0,1,August,Saturday,Moonee Valley (C),65->69,65->69,65->69,MELB - Inner,Greater Melbourne,Weekend,12,12
Y24H5760424,4,Separate House,Being Rented,2,2,August,Wednesday,Moonee Valley (C),0->4,20->24,45->49,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5760425,2,Separate House,Fully Owned,0,3,August,Thursday,Moonee Valley (C),60->64,60->64,65->69,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5760435,1,Separate House,Fully Owned,3,1,August,Sunday,Moonee Valley (C),75->79,75->79,75->79,MELB - Middle,Greater Melbourne,Weekend,2,2
Y24H5760436,1,"Unit, Flat or Apartment",Fully Owned,Missing/Refused,1,August,Monday,Moonee Valley (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,3,3
Y24H5760440,2,"Unit, Flat or Apartment",Fully Owned,0,1,August,Friday,Moonee Valley (C),50->54,50->54,55->59,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5760502,3,Separate House,Being Purchased,3,3,August,Tuesday,Wyndham (C),20->24,40->44,50->54,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5760508,3,Separate House,Being Rented,3,2,August,Monday,Wyndham (C),5->9,25->29,35->39,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5760511,6,Separate House,Fully Owned,3,2,August,Thursday,Wyndham (C),5->9,35->39,70->74,MELB - Outer,Greater Melbourne,Weekday,18,18
Y24H5760514,3,Separate House,Being Purchased,3,1,August,Sunday,Wyndham (C),5->9,30->34,40->44,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H5760521,2,Separate House,Fully Owned,Missing/Refused,2,August,Sunday,Wyndham (C),40->44,40->44,40->44,MELB - Outer,Greater Melbourne,Weekend,18,18
Y24H5760523,5,Separate House,Being Rented,0,2,August,Tuesday,Wyndham (C),5->9,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5760525,3,Separate House,Being Purchased,Missing/Refused,2,August,Thursday,Wyndham (C),15->19,30->34,40->44,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5760527,6,Separate House,Being Rented,5,1,August,Saturday,Wyndham (C),5->9,20->24,45->49,MELB - Outer,Greater Melbourne,Weekend,14,14
Y24H5760533,4,Separate House,Fully Owned,2,2,August,Friday,Wyndham (C),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5760534,4,Separate House,Being Rented,Missing/Refused,3,August,Saturday,Wyndham (C),15->19,35->39,50->54,MELB - Outer,Greater Melbourne,Weekend,18,18
Y24H5760537,5,Separate House,Being Rented,2,1,August,Tuesday,Wyndham (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5760539,3,Separate House,Being Rented,0,2,August,Thursday,Wyndham (C),25->29,25->29,25->29,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5760540,3,Terrace or Townhouse,Being Rented,0,2,August,Friday,Wyndham (C),25->29,35->39,50->54,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5770201,4,"Unit, Flat or Apartment",Fully Owned,3,2,August,Monday,Knox (C),5->9,30->34,50->54,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5770204,4,Separate House,Fully Owned,Missing/Refused,3,August,Thursday,Knox (C),35->39,55->59,75->79,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5770206,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Saturday,Knox (C),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekend,4,4
Y24H5770207,1,Separate House,Fully Owned,0,0,August,Sunday,Knox (C),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekend,3,3
Y24H5770209,4,Separate House,Fully Owned,0,3,August,Tuesday,Knox (C),55->59,70->74,85->89,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5770210,1,Separate House,Fully Owned,0,1,August,Wednesday,Knox (C),85->89,85->89,85->89,MELB - Outer,Greater Melbourne,Weekday,1,1
Y24H5770212,4,Separate House,Being Rented,5,5,August,Friday,Knox (C),0->4,20->24,50->54,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5770213,2,Separate House,Fully Owned,Missing/Refused,1,August,Saturday,Knox (C),75->79,80->84,85->89,MELB - Outer,Greater Melbourne,Weekend,14,14
